iter	Passed	Remaining
715	1366	541
716	1367	539
717	1369	537
718	1371	535
719	1373	534
720	1375	532
721	1376	530
722	1378	528
723	1380	526
724	1381	524
725	1383	522
726	1385	520
727	1386	518
728	1388	516
729	1390	514
730	1391	512
731	1393	510
732	1395	508
733	1396	506
734	1398	504
735	1400	502
736	1401	500
737	1403	498
738	1404	496
739	1406	494
740	1407	492
741	1409	490
742	1411	488
743	1413	486
744	1415	484
745	1416	482
746	1418	480
747	1420	478
748	1421	476
749	1423	474
750	1425	472
751	1426	470
752	1428	468
753	1430	466
754	1432	464
755	1434	463
756	1437	461
757	1438	459
758	1441	457
759	1445	456
760	1447	454
761	1450	452
762	1452	451
763	1454	449
764	1456	447
765	1458	445
766	1461	443
767	1463	442
768	1467	440
769	1471	439
770	1473	437
771	1475	435
772	1477	433
773	1480	432
774	1483	430
775	1485	428
776	1487	427
777	1489	425
778	1491	423
779	1493	421
780	1495	419
781	1498	417
782	1500	415
783	1502	414
784	1504	412
785	1506	410
786	1509	408
787	1511	406
788	1514	404
789	1516	403
790	1518	401
791	1520	399
792	1522	397
793	1524	395
794	1527	393
795	1529	392
796	1532	390
797	1534	388
798	1536	386
799	1538	384
800	1541	383
801	1544	381
802	1545	379
803	1548	377
804	1549	375
805	1551	373
806	1553	371
807	1555	369
808	1557	367
809	1559	365
810	1561	363
811	1563	362
812	1565	360
813	1567	358
814	1571	356
815	1573	354
816	1575	352
817	1577	351
818	1579	349
819	1581	347
820	1583	345
821	1586	343
822	1588	341
823	1590	339
824	1592	337
825	1594	335
826	1596	334
827	1598	332
828	1601	330
829	1603	328
830	1605	326
831	1607	324
832	1610	322
833	1612	320
834	1614	319
835	1616	317
836	1618	315
837	1620	313
838	1622	311
839	1624	309
840	1626	307
841	1629	305
842	1631	303
843	1633	301
844	1634	299
845	1636	297
846	1638	296
847	1640	294
848	1642	292
849	1644	290
850	1646	288
851	1648	286
852	1649	284
853	1651	282
854	1653	280
855	1654	278
856	1656	276
857	1658	274
858	1660	272
859	1662	270
860	1663	268
861	1665	266
862	1667	264
863	1669	262
864	1671	260
865	1672	258
866	1674	256
867	1676	254
868	1678	252
869	1679	250
870	1681	249
871	1683	247
872	1684	245
873	1686	243
874	1688	241
875	1690	239
876	1691	237
877	1693	235
878	1695	233
879	1696	231
880	1698	229
881	1700	227
882	1701	225
883	1703	223
884	1705	221
885	1707	219
886	1708	217
887	1710	215
888	1712	213
889	1713	211
890	1715	209
891	1717	207
892	1719	206
893	1721	204
894	1723	202
895	1725	200
896	1728	198
897	1730	196
898	1732	194
899	1734	192
900	1736	190
901	1738	188
902	1739	186
903	1741	184
904	1742	182
905	1744	180
906	1745	179
907	1747	177
908	1749	175
909	1751	173
910	1753	171
911	1754	169
912	1756	167
913	1757	165
914	1759	163
915	1761	161
916	1763	159
917	1765	157
918	1766	155
919	1768	153
920	1770	151
921	1771	149
922	1772	147
923	1774	145
924	1776	144
925	1778	142
926	1780	140
927	1781	138
928	1783	136
929	1785	134
930	1787	132
931	1789	130
932	1790	128
933	1792	126
934	1794	124
935	1795	122
936	1797	120
937	1799	118
938	1800	116
939	1802	115
940	1804	113
941	1805	111
942	1807	109
943	1809	107
944	1810	105
945	1812	103
946	1813	101
947	1815	99
948	1816	97
949	1818	95
950	1820	93
951	1822	91
952	1823	89
953	1825	88
954	1826	86
955	1828	84
956	1829	82
957	1831	80
958	1833	78
959	1834	76
960	1836	74
961	1838	72
962	1840	70
963	1841	68
964	1843	66
965	1844	64
966	1846	63
967	1847	61
968	1849	59
969	1851	57
970	1852	55
971	1854	53
972	1856	51
973	1857	49
974	1859	47
975	1861	45
976	1863	43
977	1864	41
978	1866	40
979	1868	38
